Class,Precision,Recall,F1 Score,Support
down,0.9234234234234234,0.8102766798418972,0.8631578947368421,506
go,0.78125,0.8466135458167331,0.8126195028680688,502
left,0.8494623655913979,0.8876404494382022,0.8681318681318682,534
no,0.8874172185430463,0.7976190476190477,0.8401253918495298,504
off,0.8529411764705882,0.7748091603053435,0.812,524
on,0.8908730158730159,0.9126016260162602,0.9016064257028112,492
right,0.9015151515151515,0.918918918918919,0.9101338432122371,518
stop,0.8846918489065606,0.893574297188755,0.8891108891108891,498
up,0.7887096774193548,0.8988970588235294,0.8402061855670103,544
yes,0.9146825396825397,0.900390625,0.90748031496063,512
