Class,Precision,Recall,F1 Score,Support
down,0.8861047835990888,0.7687747035573123,0.8232804232804233,506
go,0.7345454545454545,0.8047808764940239,0.7680608365019012,502
left,0.8348457350272233,0.8614232209737828,0.847926267281106,534
no,0.8644444444444445,0.7718253968253969,0.8155136268343816,504
off,0.7821011673151751,0.767175572519084,0.7745664739884393,524
on,0.8557312252964426,0.8800813008130082,0.8677354709418837,492
right,0.8380414312617702,0.859073359073359,0.8484270734032412,518
silence,0.9954389965792474,0.8871951219512195,0.938205265986029,1968
stop,0.8427184466019417,0.8714859437751004,0.8568608094768015,498
unknown,0.9520422212023865,0.9721180880974696,0.9619754231393461,8536
up,0.7568438003220612,0.8639705882352942,0.8068669527896996,544
yes,0.9144602851323829,0.876953125,0.8953140578265204,512
