Class,Precision,Recall,F1 Score,Support
down,0.8970917225950783,0.7924901185770751,0.8415529905561385,506
go,0.7265774378585086,0.7569721115537849,0.7414634146341463,502
left,0.8453038674033149,0.8595505617977528,0.8523676880222841,534
no,0.7931034482758621,0.7757936507936508,0.7843530591775326,504
off,0.8249496981891348,0.7824427480916031,0.8031341821743389,524
on,0.8848484848484849,0.8902439024390244,0.8875379939209727,492
right,0.896887159533074,0.88996138996139,0.8934108527131783,518
stop,0.7704626334519573,0.8694779116465864,0.8169811320754717,498
up,0.8300180831826401,0.84375,0.8368277119416591,544
yes,0.8579881656804734,0.849609375,0.8537782139352306,512
