Class,Precision,Recall,F1 Score,Support
down,0.3003484320557491,0.8517786561264822,0.4441009788768676,506
go,0.3343589743589744,0.649402390438247,0.4414353419092756,502
left,0.46408839779005523,0.7865168539325843,0.5837387074357192,534
no,0.4796547472256473,0.7718253968253969,0.5916349809885931,504
off,0.37079731027857826,0.7366412213740458,0.49329073482428115,524
on,0.2041274113952445,0.9247967479674797,0.3344358691657479,492
right,0.22948473282442747,0.9285714285714286,0.3680183626625861,518
stop,0.3700088731144632,0.8373493975903614,0.5132307692307693,498
unknown,0.0,0.0,0.0,8536
up,0.3890649762282092,0.9025735294117647,0.5437430786267996,544
yes,0.25936277249860257,0.90625,0.40330291177748806,512
