Class,Precision,Recall,F1 Score,Support
down,0.01871345029239766,0.03162055335968379,0.02351212343864805,506
go,0.17539988968560397,0.6334661354581673,0.27473002159827214,502
left,0.43859649122807015,0.32771535580524347,0.37513397642015006,534
no,0.01775147928994083,0.011904761904761904,0.014251781472684086,504
off,0.205607476635514,0.25190839694656486,0.22641509433962265,524
on,0.0379746835443038,0.006097560975609756,0.010507880910683012,492
right,0.054945054945054944,0.009652509652509652,0.016420361247947456,518
stop,0.05812417437252312,0.08835341365461848,0.0701195219123506,498
up,0.34782608695652173,0.08823529411764706,0.14076246334310852,544
yes,0.0,0.0,0.0,512
